comparison.primary;comparison.secondary
лебедь;39.4736842105263;28.3720930232558
рад;15.7894736842105;31.0077519379845
зайти;5.26315789473684;39.6899224806202
расти;71.0526315789474;33.3333333333333
сырой;63.1578947368421;36.1240310077519
печаль;71.0526315789474;36.4341085271318
думать;71.0526315789474;33.7984496124031
ребята;5.26315789473684;36.7441860465116
плыть;52.6315789473684;30.6976744186047
будто;92.1052631578947;33.1782945736434
голубь;15.7894736842105;23.7209302325581
посадить;13.1578947368421;35.1937984496124
рубль;5.26315789473684;27.2868217054264
полночь;78.9473684210526;31.937984496124
видать;84.2105263157895;36.7441860465116
голубчик;47.3684210526316;27.4418604651163
чисто;21.0526315789474;38.2945736434108
маша;21.0526315789474;29.3023255813954
поди;15.7894736842105;35.1937984496124
беда;89.4736842105263;25.2713178294574
писать;31.5789473684211;26.2015503875969
путь;68.4210526315789;38.6046511627907
баба;10.5263157894737;20.7751937984496
далеко;52.6315789473684;34.2635658914729
стол;55.2631578947368;35.968992248062
худой;7.89473684210526;32.8682170542636
если;89.4736842105263;29.6124031007752
горючий;60.5263157894737;33.6434108527132
кручина;76.3157894736842;33.1782945736434
мила;39.4736842105263;31.4728682170543
ложиться;47.3684210526316;36.5891472868217
нейти;21.0526315789474;31.0077519379845
бранить;52.6315789473684;37.5193798449612
ничто;23.6842105263158;36.7441860465116
деньги;26.3157894736842;24.1860465116279
удалый;7.89473684210526;32.2480620155039
пьяный;5.26315789473684;28.062015503876
вдовушка;5.26315789473684;20
век;68.4210526315789;36.4341085271318
долго;86.8421052631579;33.3333333333333
горница;15.7894736842105;35.5038759689922
дома;18.4210526315789;30.8527131782946
бывать;63.1578947368421;33.6434108527132
сон;81.5789473684211;24.031007751938
золото;84.2105263157895;30.3875968992248
дунай;0;27.4418604651163
перстень;50;30.6976744186047
подружка;36.8421052631579;28.8372093023256
ее;73.6842105263158;35.5038759689922
мед;5.26315789473684;27.906976744186
серый;0;35.1937984496124
прежний;78.9473684210526;31.7829457364341
род;28.9473684210526;33.3333333333333
дитятко;23.6842105263158;23.1007751937985
принимать;57.8947368421053;32.8682170542636
четыре;21.0526315789474;30.8527131782946
дальний;68.4210526315789;31.4728682170543
