"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREYEVSKY_1" "KIREYEVSKY_2" "KIREYEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_FULL_1" "SOBOLEVSKY_FULL_2" "SOBOLEVSKY_FULL_3"
"лежать" 0.12 0.11 0.12 0.15 0.14 0.1 0.13 0.13 0.13 0.06 0.05 0.02 0.06 0.06 0.05 0.12 0.08 0.14
"пора" 0.05 0.15 0.09 0.05 0.09 0.09 0.07 0.08 0.06 0.13 0.11 0.07 0.09 0.18 0.11 0.12 0.09 0.13
"замуж" 0.19 0.19 0.22 0.12 0.1 0.16 0.11 0.11 0.13 0.01 0 0 0.03 0.01 0.01 0.11 0.12 0.12
"тут" 0.16 0.15 0.12 0.09 0.11 0.08 0.08 0.06 0.07 0.11 0.06 0.12 0.05 0.03 0.01 0.14 0.19 0.11
"хотеть" 0.08 0.08 0.11 0.1 0.13 0.08 0.11 0.05 0.12 0.1 0.07 0.09 0.09 0.07 0.1 0.13 0.12 0.09
"ка" 0.12 0.13 0.13 0.15 0.12 0.16 0.03 0.04 0.04 0 0.01 0.01 0.02 0.03 0.03 0.25 0.16 0.28
"велеть" 0.23 0.28 0.28 0.08 0.09 0.04 0.13 0.07 0.09 0.03 0.03 0.05 0.02 0.02 0.04 0.06 0.07 0.09
"гора" 0.11 0.1 0.09 0.16 0.15 0.11 0.14 0.1 0.1 0.08 0.08 0.05 0.03 0.07 0.04 0.11 0.08 0.1
"отец" 0.16 0.17 0.16 0.08 0.09 0.1 0.02 0.05 0.04 0.04 0.09 0.05 0.08 0.09 0.1 0.11 0.17 0.1
"тоска" 0.03 0.05 0.03 0.09 0.11 0.06 0.05 0.09 0.07 0.03 0.05 0.07 0.3 0.25 0.27 0.06 0.03 0.06
"любезный" 0.05 0.05 0.09 0.2 0.22 0.16 0.12 0.15 0.12 0.08 0.04 0.01 0.07 0.05 0.07 0.05 0.07 0.08
"широкий" 0.15 0.08 0.13 0.13 0.16 0.13 0.08 0.05 0.09 0.03 0.03 0.03 0.08 0.08 0.09 0.12 0.11 0.11
