Name;Title;Publication;Year;G_title;Comment;Meter;Regularity;Rhyme;Type;path
Волконская, З.А.;Уж как пал снежок со темных небес;Сев. Цветы на 1832 г. СПб.., 1831 + Русские поэтессы 19 в. М., 1979;1831;Надгробная славянского гусляра;входило в прозаич. Текст Сказание об Ольге;Пс2;unreg(перебои к анапест. И амфб. Ритму);unrhymed;core;corpus_split//80_volkonskaya_1831_utf8.txt
Вяземский;Собирайтесь девки красны;NA;1817;NA;NA;Х4мж;reg;rhymed;core;corpus_split//81_vyazemsky_1817_utf8.txt
Г……ни (…Ни?...На?;Ах! Не чайка кружася носится;Литературный кабинет.М., 1842. Ч. 2. С. 66-67;1842;Русские песни;NA;Пс2;reg;unrhymed;core;corpus_split//82_g-ni_1823_utf8.txt
Г……ни (…Ни?...На?;Что ты Машенька призадумалась;Литературный кабинет.М., 1842. Ч. 2. С. 67;1842;Русские песни;NA;Пс2;reg;unrhymed;core;corpus_split//83_g-ni_1823_utf8.txt
Глебов, Д.П.;Увянет без солнышка;NA;1817;NA;NA;Аф2д;reg;unrhymed;core;corpus_split//84_glebov_1817_utf8.txt
Глебов, Д.П.;Скучно матушка мне сердцем жить одной;NA;1817;NA;NA;Х6м;reg;rhymed;core;corpus_split//85_glebov_1817_utf8.txt
Глинка, Ф.;Над озером, Габ озером;Царское село на 1830. СПб., 1830. С. 240-242;1828;Олонецкая песня;NA;Я34дм;unreg;occ;core;corpus_split//87_glinka_1828_utf8.txt
Годовниченкова Евпраксия;О кинжал мой, кинжал!;БдЧ. 1838, т. 26. Стихотв 97-98;1838;Обет женщины;NA;Ан2мАн1д;unreg;unrhymed;core;corpus_split//88_godovnichenkova_1838_utf8.txt
Головин, В.;Рано солнышко играешь;NA;1821;NA;на голос: при долинушке стояла;Х43ж;reg;rhymed;core;corpus_split//89_golovin_1821_utf8.txt
Горчаков, В.;Что грустишь ты, добрый молодец;БдЧ. 1839, т. 35. Лит. Летопись. С. 10-11. / Стих. Вл. Горчакова. М., 1839;1838;Русская песня;NA;Х4д + Пс2;unreg;unrhymed;core;corpus_split//90_gorchakov_1838_utf8.txt
Горчаков, В.;Под тою ли под сосною;Горчаков, В. Стихотворения. М., 1839. С. 19-20;1839;Цветок;NA;Я3д;unreg, перебои;unrhymed;core;corpus_split//91_gorchakov_1839_utf8.txt
Горчаков, В.;Сторона моя, сторонушка;Горчаков, В. Стихотворения. М., 1839. С. 26-27;1839;Русская песня;NA;Я3д;unreg, перебои, Х4д;unrhymed;core;corpus_split//92_gorchakov_1839_utf8.txt
Горчаков, В.;Что ты пташечка;Горчаков, В. Стихотворения. М., 1839. С. 28-29;1839;Русская песня;NA;Пс;unreg, Ан1дж;unrhymed;core;corpus_split//93_gorchakov_1839_utf8.txt
Грамматин, Н.Ф.;Лето красное проходи скорей;Вестник Европы, 1807, № 24, с. 280, под загл. Элегия сельской девушки;1807;Элегия сельской девушки;NA;Пс2;reg;unrhymed;core;corpus_split//94_grammatin_1807_utf8.txt
Грамматин, Н.Ф.;Ты не плачь не плачь красна девица;NA;1811;NA;NA;Пс2;reg;unrhymed;core;corpus_split//95_grammatin_1811_utf8.txt
Грамматин, Н.Ф.;Долго ль сердце нам с тобою тосковать;Вестн. Европы. - 1813. - Ч.67, N 1,2. - С.77-78.;1813;NA;NA;Х6м;reg;rhymed;core;corpus_split//96_grammatin_1813_utf8.txt
Грамматин, Н.Ф.;Проходи ты лето красное скорей;ВЕ, 1807. Ч. 36, N 23.;1807;Песня;на голос: я не знала ни о чем в свете тужить;Х6м;reg;rhymed;core;corpus_split//97_grammatin_1807_utf8.txt
Грамматин, Н.Ф.;Не шуми ты погодушка;Вестн. Европы. - 1815. - Ч.82, N 15. - С.164-166.;1815;NA;NA;Ан2д;reg;rhymed;core;corpus_split//98_grammatin_1815_utf8.txt
Гребенка, Е.П.;Бело личко черны очи;NA;1844;Песня;NA;Х4жм;reg;unrhymed;core;corpus_split//100_grebenka_1844_utf8.txt
Гребенка, Е.П.;Светла речка под окном твоим шумит;Метеор на 1845 г., СПб.1845. С. 111;1840;Песня (в СС);NA;Х6м;reg;rhymed;core;corpus_split//101_grebenka_1840_utf8.txt
Гребенка, Е.П.;Молода еще девица я была;СС + ОЗ, 1841. № 11. Т. 19. Отд. 3. С. 65;1841;Песня (в СС);NA;Х6м;reg;rhymed;core;corpus_split//102_grebenka_1841_utf8.txt
Гребенка, Е.П.;Зелена трава моя;NA;1841;Песня (в СС);NA;Я3д + Х3ж + Ан2м (рефр);reg;rhymed;core;corpus_split//103_grebenka_1841_utf8.txt
Греков, Н.;Много в небе горит;БдЧ. 1840, т. 43.Стихотворения. С. 11-12;1840;Русская песня;NA;Ан2м + Пс;reg;unrhymed;core;corpus_split//104_grekov_1840_utf8.txt
Губер, Э.;На душе свободной;БдЧ. 1843, т. 58., № 5. С. 10;1843;Песня;NA;Х3ж;reg;rhymed;core;corpus_split//105_guber_1843_utf8.txt
Д. Чернецкий;Ах, ты девица, звезда ясная;БдЧ. 1841, С. 7-8. Стих. Т. 46.;1841;Русская песня;NA;Пс2 + Пс;unreg (сбои, анапест.);unrhymed;core;corpus_split//106_chernecky_1841_utf8.txt
Даргомыжская,  М.;Тошно грустно мне на свете жить одной;Славянин. 1827. Ч. 2. № 21. С. 295;1827;Песня, УД;NA;Х6м;reg;rhymed;core;corpus_split//108_dargmyzhskaya_1827_utf8.txt
Д-въ., А. (Д-въ);Не дари меня черным соболем;СО, 1840. т. 1. Стихотворения. С. 554-555;1840;Русская песня;NA;Пс;unreg(перебои + стихи из двух пятисложников);unrhymed;core;corpus_split//109_d-v_1840_utf8.txt
Дельвиг;Соловей мой соловей;Дельвиг, А.А. Сочинения. Л., 1986. С. 31;1825;Русская песня;NA;Х4м;reg;occ;core;corpus_split//110_delvig_1825_utf8.txt
Дельвиг;Пела пела пташечка;Дельвиг, А.А. Сочинения. Л., 1986. С. 31;1824;Русская песня;NA;Х32дж;reg;unrhymed;core;corpus_split//111_delvig_1824_utf8.txt
Дельвиг;Что красотка молодая;Дельвиг, А.А. Сочинения. Л., 1986. С. 50-51;1823;Русская песня;NA;Х43ж;reg;unrhymed;core;corpus_split//112_delvig_1823_utf8.txt
Дельвиг;Ах ты ночь ли;Дельвиг, А.А. Сочинения. Л., 1986. С. 51-52;1821;Русская песня;NA;Х21жд;reg;unrhymed;core;corpus_split//113_delvig_1821_utf8.txt
Дельвиг;Голова ль моя головушка;Дельвиг, А.А. Сочинения. Л., 1986. С. 56-57;1823;Русская песня;NA;Х4д;reg;unrhymed;core;corpus_split//114_delvig_1823_utf8.txt
Дельвиг;Сиротинушка девушка;Дельвиг, А.А. Сочинения. Л., 1986. С. 64;1828;Русская песня;NA;Ан2д;reg;unrhymed;core;corpus_split//115_delvig_1828_utf8.txt
Дельвиг;Скучно девушки весною жить одной;Дельвиг, А.А. Сочинения. Л., 1986. С. 64-65;1824;Русская песня;NA;Х6м;reg;rhymed;core;corpus_split//116_delvig_1824_utf8.txt
Дельвиг;И я выйду ль на крылечко;Дельвиг, А.А. Сочинения. Л., 1986. С. 171-172;1828;NA;Незакончено;Х4жм;reg;rhymed;core;corpus_split//117_delvig_1828_utf8.txt
Дельвиг;Как за реченькой слободушка стоит;Дельвиг, А.А. Сочинения. Л., 1986. С. 172;1828;NA;NA;Х6м;reg;rhymed;core;corpus_split//118_delvig_1828_utf8.txt
Дельвиг;По небу тучи громовые ходят;Дельвиг, А.А. Сочинения. Л., 1986. С. 172-173;1829;Русская песня;NA;Д13дж;reg;unrhymed;core;corpus_split//119_delvig_1829_utf8.txt
Дельвиг;Как у нас ли на кровельке;Дельвиг, А.А. Сочинения. Л., 1986. С. 182-183;1829;Русская песня;NA;Ан2д;reg;unrhymed;core;corpus_split//120_delvig_1829_utf8.txt
Дельвиг;Я вечор в саду младешенька гуляла;Дельвиг, А.А. Сочинения. Л., 1986. С. 186;1831;Русская песня;NA;Х6ж + Х5ж;unreg;unrhymed;core;corpus_split//121_delvig_1831_utf8.txt
Ершов, П.П.;Полетай мой голубочек;NA;1834;Песня казачки;из Сибирского казака;Х4ж;reg;unrhymed;core;corpus_split//123_ershov_1834_utf8.txt
Ершов, П.П.;Как во поле во широком;NA;1834;Молодой орел;NA;Х4жм;reg;rhymed;core;corpus_split//124_ershov_1834_utf8.txt
Ершов, П.П.;Уж не цвесть цветку в пустыне;NA;1835;Русская песня;NA;Х4жм;reg;rhymed;core;corpus_split//125_ershov_1835_utf8.txt
Ершов, П.П.;Камень милый бирюзовый;NA;1837;Кольцо с бирюзою;NA;Х4жм;reg;unrhymed;core;corpus_split//127_ershov_1837_utf8.txt
Жарков, А.;Уж давно то я томлюсь;Московский городской листок. 1847, № 147, 8 июля. С. 589;1847;NA;NA;Х4мд;unreg(разностопный, мелодическая форма какая-то);occ;core;corpus_split//129_zharkov_1847_utf8.txt
Жмакин, В.;Я люблю бледный цвет;Жмакин, В. Часы досуга. М., 1843. С. 61-62;1843;Утрата;NA;Ан2м + Х3ж;reg;rhymed;core;corpus_split//130_zhmakin_1843_utf8.txt
Жмакин, В.;Долго ль будут тучи по небу ходить;Жмакин, В. Часы досуга. М., 1843. С. 66;1843;Моя песня;(скорее сильно раньше написанные);Х6м;reg;rhymed;core;corpus_split//131_zhmakin_1843_utf8.txt
