CONTROL_SOBOLEVSKY;KIREYEVSKY;PESENNIKI;RUSCORPORA;RUSSKIE_PESNI;SOBOLEVSKY_FULL
зеленый;1.05621647208804;0.740622445425006;0.300223947982094;-1.51018721892553;-0.92307017236097;0.336194525791364
какой;-0.651501734256518;-0.48327745824174;-0.142111062982374;2.01216758872557;-0.331182865406311;-0.404094467838623
сын;-0.125765236543046;1.06509650158693;0.381993529046433;-0.216385700780871;-1.78668296415735;0.68174387084791
вдруг;-0.647099866445629;-0.654075987731858;-0.393033658837577;1.86736061628347;0.411894399622283;-0.585045502890687
слава;-0.137081370012895;-0.332311654212044;-0.366415606796162;2.01134964228372;-0.583212684254737;-0.592328327007887
пред;-0.42284142529825;-0.482709882787059;-0.49900334262028;2.02158723030269;-0.132430472226255;-0.484602107370846
глаз;-0.434208839612069;-0.843261398899018;1.44696223198971;0.367680269416506;0.660716670494523;-1.19788893338966
это;0.695548831895896;-0.104166955008451;-1.8724515473146;0.794299670587576;0.596868937195744;-0.110098937356162
ее;-0.26681249363893;-0.707579137126873;-0.694383023082266;1.90113049424993;0.274131765013699;-0.50648760541556
сила;-0.68404589048434;-0.364519518127255;-0.551596617683074;1.90972113134928;0.292433871182931;-0.601992976237544
петь;0.533242807224287;0.562605516177561;-1.24194599168876;-0.22713535140254;1.35611541623335;-0.982882396543899
при;1.0158823061894;0.0299259484466541;1.32440484904876;-1.13017467679842;-0.90889368725764;-0.331144739628761
хоть;0.748285568560374;-0.32256867050214;0.391637539823217;0.932020707718929;0.0697220042522963;-1.81909714985268
родной;1.03577988643876;0.769520511768558;-0.494164258059323;-1.73248404611705;0.226981863498636;0.194366042470429
