;KIREEVSKY.n;PESENNIKI.n;RUSCORPORA.n;RUSSKIE_PESNI.n;SOBOLEVSKY.n
полно;0.2289076287;1.4873175546;-1.1780122944;-0.5876486445;0.0494357556
света;-0.8105929241;-0.5450981568;1.0292795668;1.1463431955;-0.8199316814
радости;-0.6472679712;0.2417889915;-0.3447605437;1.6245781951;-0.8743386716
земля;-0.4742307569;-0.7931006048;0.2150580533;1.6544555577;-0.6021822493
млада;0.0561601105;1.2711948233;-1.1823471713;-0.7698027068;0.6247949443
счастье;-0.7079275428;-0.4500302571;0.2584996067;1.6382106477;-0.7387524545
наша;1.0992205473;-0.5792732415;-0.8731643824;-0.7265413689;1.0797584455
сказать;0.7437151641;-0.4790593831;1.2411107981;-1.2741161328;-0.2316504463
пускай;-0.3357006963;-0.6402124985;1.7573897878;-0.1862128698;-0.5952637232
город;0.3680403153;-0.0849711791;-0.6263317355;-1.133382144;1.4766447433
смерти;-0.1400759141;-0.9338635687;1.4546023104;0.4878859547;-0.8685487823
своего;0.0385965255;1.2742511368;-1.0085742959;-0.9618530217;0.6575796552
дня;-0.8340408473;-0.647197065;0.7321613039;1.3916159233;-0.6425393149
огонь;-0.5167736285;0.0307490178;1.3547466473;0.4372243326;-1.3059463692
цветы;-0.7604240431;1.2384259203;-0.9430466416;0.8998252481;-0.4347804838
