"KIREEVSKY.n" "PESENNIKI.n" "RUSCORPORA.n" "RUSSKIE_PESNI.n" "SOBOLEVSKY.n"
"ко" 0.271315962690042 0.283327634214254 0.0494629958599208 0.153113710854327 0.302778494130682
"они" 0.0939170640080913 0.112354061843584 0.116013208471451 0.0526328381061748 0.109649751186758
"быть" 0.0802709948787105 0.0683894289482683 0.127069642840139 0.110050479676547 0.0630390555603312
"тут" 0.109168553035046 0.0928142250012212 0.0951699781304786 0.0358860259814828 0.156451474254277
"ей" 0.045754467080865 0.0488495921059059 0.129027002034596 0.153113710854327 0.0370593235718311
"ему" 0.0465571770296521 0.107469102632993 0.119187304462462 0.136366898729635 0.0702980983218239
"иль" 0.00802709948787105 0.0537345513164965 0.139289912405531 0.0933036675518553 0.0110795915833309
"было" 0.158936569859847 0.131893898685946 0.0844309533608915 0.122012488337042 0.167149010955424
"моей" 0.0561896964150974 0.0781593473694495 0.119081501262761 0.174645326443216 0.0523415188591841
"только" 0.126025461959576 0.0976991842118118 0.104903872502912 0.12440489006914 0.0838610466393497
"чтоб" 0.0224758785660389 0.0830443065800401 0.127704462038341 0.100480872748152 0.0286541161637869
"есть" 0.0722438953908395 0.0488495921059059 0.102682005309205 0.0741644536950645 0.107930504216931
"сам" 0.113984812727769 0.136778857896537 0.0890862941477076 0.0550252398382736 0.133719208764339
"ним" 0.0256867183611874 0.0439646328953153 0.122202695653922 0.0789492571592622 0.0309464454568899
"вас" 0.0280948482075487 0.0341947144741341 0.1159603068716 0.0645948467666691 0.0433632291278642
"вам" 0.037727367592994 0.0732743881588589 0.11299781727999 0.0430632311777794 0.0485209700373459
"б" 0.0666249257493297 0.0830443065800401 0.105591593300965 0.143544103925931 0.0574992597686658
"свой" 0.015251489026955 0.0195398368423624 0.118235075665158 0.033493624249384 0.0202489087557428
"молодец" 0.256867183611874 0.214938205265986 0.0064010935818721 0.143544103925931 0.349580217198201
"вдруг" 0.00722438953908395 0.0195398368423624 0.117864764466207 0.0550252398382736 0.0110795915833309
"день" 0.0602032461590329 0.0732743881588589 0.102523300509654 0.0933036675518553 0.0473748053907944
"пред" 0.00561896964150974 0.00488495921059059 0.117917666066057 0.0215316155888897 0.00553979579166547
"своей" 0.0826791247250718 0.0635044697376777 0.0928423077370706 0.0956960692839542 0.0676237141465371
"любви" 0.0224758785660389 0.0341947144741341 0.111886883683136 0.0741644536950645 0.013180893435342
"всех" 0.0297002681051229 0.0830443065800401 0.101518170112501 0.0789492571592622 0.0433632291278642
"мои" 0.165358249450144 0.112354061843584 0.0589852838329537 0.100480872748152 0.15874380354738
"один" 0.0891008043153687 0.0683894289482683 0.0912023581417149 0.0693796502308668 0.0632300830014232
"жизнь" 0.0184623288221034 0.0390796736847247 0.108554082892575 0.112442881408646 0.0127988385531582
"им" 0.00963251938544526 0.0341947144741341 0.108236673293474 0.0454556329098782 0.0171924696982722
"душа" 0.106760423188685 0.16120365394949 0.0652805742151254 0.129189693533338 0.13677564782181
"свет" 0.0313056880026971 0.0830443065800401 0.0909907517423142 0.150721309122228 0.0571172048864819
"наш" 0.0264894283099745 0.0635044697376777 0.0892449989472582 0.0263164190530874 0.0743096745847541
"была" 0.157331149962273 0.16120365394949 0.0646986566167734 0.0789492571592622 0.121111397652273
"при" 0.114787522676556 0.16120365394949 0.072686798194151 0.081341658891361 0.102008653543081
"мной" 0.0939170640080913 0.127008939475355 0.0757550909854616 0.114835283140745 0.0905470070775667
"теперь" 0.0128433591805937 0.0390796736847247 0.100407236515647 0.112442881408646 0.0236874026953972
"хоть" 0.06100595610782 0.0830443065800401 0.0888746877483069 0.0789492571592622 0.054824875593379
"нем" 0.0200677487196776 0.0439646328953153 0.0968099277258343 0.0765568554271633 0.0320926101034414
"будет" 0.045754467080865 0.0781593473694495 0.0869173285538501 0.0837340606234599 0.0594095341795849
"них" 0.0280948482075487 0.0488495921059059 0.0964925181267332 0.0645948467666691 0.0298002808103384
"жизни" 0.00240812984636132 0.00976991842118118 0.106808330097519 0.0430632311777794 0.0015282195287353
"тот" 0.0313056880026971 0.0341947144741341 0.0960164037280815 0.0526328381061748 0.0315195277801656
"час" 0.0216731686172518 0.0341947144741341 0.0973389437243361 0.0430632311777794 0.0248335673419487
"себе" 0.107563133137472 0.112354061843584 0.0689836862046382 0.0741644536950645 0.0999073516910704
"любовь" 0.0521761466711618 0.0781593473694495 0.0905146373436626 0.112442881408646 0.0313285003390737
"тобой" 0.099536033649601 0.131893898685946 0.0767073197827649 0.148328907390129 0.0641852202068827
"чем" 0.0553869864663103 0.112354061843584 0.0846954613601425 0.0885188640876576 0.0506222718893569
"милый" 0.0923116441105171 0.16120365394949 0.052425485451531 0.160290916050623 0.14976551381606
"сей" 0.00240812984636132 0.0341947144741341 0.103792938906058 0.0191392138567908 0.00114616464655148
"это" 0.0473598869784392 0.0488495921059059 0.0797756125740755 0.0669872484987679 0.0638031653246989
"тогда" 0.0120406492318066 0.0341947144741341 0.089192097347408 0.117227684872844 0.0227322654899376
"мир" 0.00481625969272263 0.00488495921059059 0.0955402893294299 0.016746812124692 0.00286541161637869
"девица" 0.171779929040441 0.293097552635436 0.0121144663656918 0.277518600923467 0.227895737222652
"три" 0.17739889868195 0.107469102632993 0.0312119439116078 0.0191392138567908 0.174599081158008
"себя" 0.0545842765175232 0.0830443065800401 0.0692481942038891 0.0741644536950645 0.0618928909137798
"может" 0.00481625969272263 0 0.0882927701499549 0.0933036675518553 0.00496671346838973
"поле" 0.143685080832892 0.0976991842118118 0.0343331383027686 0.16746812124692 0.154732227284449
